listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
1046443,"Beautiful & spacious apartment in Astoria, Queens",5760970,Chris,Queens,Ditmars Steinway,200,8,10/2/2017,3.64,350,4.0
6480685,"Cozy,  single bed room.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,45,16,7/25/2017,0.63,324,4.0
19979903,Jolly Bedroom! 3 minute walk to Astoria Ditmars!,135845936,Claire,Queens,Ditmars Steinway,75,1,8/20/2017,0.67,0,4.0
11625684,Astoria Suite - 20min to Manhattan,1172202,Funda,Queens,Ditmars Steinway,100,58,9/14/2017,3.11,129,4.0
20689638,LARGE PRIVATE ROOM CLOSE TO MANHATTAN,139357580,Shuly,Queens,Ditmars Steinway,125,3,9/15/2017,2.73,331,4.0
11641041,3 Bedrooms - Spacious & Close to Subway!,7693749,Evan,Queens,Ditmars Steinway,188,64,9/8/2017,3.58,88,4.0
18159825,Astoria's simple studio,23187808,Theodore,Queens,Ditmars Steinway,99,21,10/1/2017,3.68,238,4.0
15530531,Apartment in Heart of Astoria Step to the Train!!!,17337288,Dean,Queens,Ditmars Steinway,125,9,7/13/2017,0.79,353,4.0
7927466,"A Little Apple Tree House, Astoria",3125683,Dega,Queens,Ditmars Steinway,150,38,9/4/2017,1.47,337,4.0
8741446,"Clean, inviting apt.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,181,35,9/26/2017,1.64,108,4.0
19875244,Spacious and quiet bedroom,34609436,Stella,Queens,Ditmars Steinway,55,10,9/27/2017,5.45,96,4.0
239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,68,41,8/28/2017,0.57,316,4.0
10735397,Modern Two bedroom in Astoria,24084263,Marco,Queens,Ditmars Steinway,110,16,5/8/2017,0.89,71,4.0
10789911,One Bedroom in Astoria,32003714,Christopher,Queens,Ditmars Steinway,80,1,4/7/2017,0.09,363,4.0
15336336,"Clean, Bright 1BD in Trendy Astoria",97768365,Christina,Queens,Ditmars Steinway,150,23,9/30/2017,2.05,60,4.0
8783113,COZY near the Big City Room 1,10314085,Sergio,Queens,Ditmars Steinway,65,5,8/29/2016,0.21,174,4.0
6950074,"Beautiful, Cozy Apartment",6434434,Jenna,Queens,Ditmars Steinway,110,12,9/3/2017,0.45,14,4.0
13512004,"Big and bright bedroom in Astoria, Queens!",24822059,Jessica,Queens,Ditmars Steinway,65,6,9/17/2017,0.38,0,4.0
20459144,"Spacious, Sunny room in the heart of Astoria",140944881,Callen,Queens,Ditmars Steinway,50,4,9/9/2017,2.86,0,4.0
2896760,"Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,60,97,9/1/2017,2.33,342,4.0
6043315,Cozy Private Red Room in Astoria,11050098,Xiao,Queens,Ditmars Steinway,40,199,9/17/2017,6.66,351,4.0
19019592,Amazing 2 Bed. - 10 Min. to Midtown Manhattan!,132714678,Ed,Queens,Ditmars Steinway,133,1,9/12/2017,1.0,336,4.0
19282178,Astoria Two Bed and Kitchen Minutes from subway,131392140,Vik,Queens,Ditmars Steinway,165,14,9/24/2017,4.16,74,4.0
