AirBnB_Listings_Table_NYC
Borough_ID,Borough,Price,Min_Number_Nights_Booked,Total_Reviews,Reviews_Per_Month,Number_of_Listings,Annual_Availability_(Days)
1,Bronx,50,1,169,2.32,2,330
1,Bronx,85,2,6,0.15,4,344
1,Bronx,99,1,53,2.52,2,279
1,Bronx,105,1,0,,4,365
1,Bronx,39,1,17,1.09,2,326
1,Bronx,175,1,0,,1,0
1,Bronx,250,3,89,1.41,1,329
1,Bronx,115,2,9,2.55,1,132
1,Bronx,99,4,17,0.63,2,127
1,Bronx,56,2,85,2.92,3,93
1,Bronx,55,1,29,9.56,1,1
1,Bronx,49,1,17,1.03,1,350
1,Bronx,40,1,4,1.71,1,12
1,Bronx,100,1,0,,4,365
1,Bronx,55,1,49,2.98,2,307
1,Bronx,85,2,0,,1,365
1,Bronx,85,3,3,0.6,1,86
1,Bronx,90,30,1,0.21,1,358
1,Bronx,80,3,22,1.38,1,361
1,Bronx,129,1,0,,1,89
1,Bronx,100,2,54,2.8,1,0
1,Bronx,60,1,2,2,1,25
1,Bronx,58,2,9,3.75,1,18
1,Bronx,60,1,16,5.93,1,2
1,Bronx,65,2,0,,1,0
1,Bronx,75,1,6,0.32,1,352
1,Bronx,40,5,2,0.08,1,338
1,Bronx,75,1,0,,1,0
1,Bronx,125,2,9,0.33,1,282
1,Bronx,50,1,180,2.43,2,311
1,Bronx,89,3,18,0.84,1,83
1,Bronx,80,7,0,,1,0
1,Bronx,115,2,10,2.94,1,361
1,Bronx,70,2,2,2,2,328
1,Bronx,70,1,26,0.45,2,345
1,Bronx,95,2,6,0.28,1,173
1,Bronx,145,5,1,0.05,1,0
1,Bronx,60,1,3,1.36,2,274
1,Bronx,65,4,41,1.63,1,285
1,Bronx,50,1,22,2.64,1,173
1,Bronx,49,3,9,0.36,1,334
1,Bronx,45,1,0,,1,13
1,Bronx,87,3,4,0.23,1,0
1,Bronx,50,10,12,0.32,2,243
1,Bronx,115,21,8,0.77,1,292
1,Bronx,46,1,21,0.72,2,340
1,Bronx,80,3,6,0.46,1,357
1,Bronx,90,1,0,,1,83
1,Bronx,63,1,0,,1,26
1,Bronx,59,1,17,6.46,1,358
1,Bronx,50,3,0,,1,88
1,Bronx,50,3,0,,1,364
1,Bronx,68,1,39,1.96,1,129
1,Bronx,43,2,11,0.23,1,241
1,Bronx,39,2,70,6.5,1,42
1,Bronx,50,1,6,1.48,1,175
1,Bronx,30,2,199,3.46,1,296
1,Bronx,45,3,18,1.65,3,9
1,Bronx,160,2,37,1.38,1,260
1,Bronx,225,2,4,0.3,1,0
1,Bronx,250,15,0,,1,364
1,Bronx,35,14,5,0.29,1,207
1,Bronx,43,3,37,0.99,1,340
1,Bronx,50,1,5,0.97,1,352
1,Bronx,99,3,0,,3,50
1,Bronx,100,3,2,1.67,1,67
1,Bronx,23,3,16,3.61,3,16
1,Bronx,60,5,1,0.45,1,0
1,Bronx,109,2,35,1.78,2,162
1,Bronx,120,1,66,2.72,3,358
1,Bronx,50,1,9,0.7,1,362
1,Bronx,65,1,24,10.14,4,336
1,Bronx,0,1,11,6.47,4,155
1,Bronx,75,1,14,6.46,4,345
1,Bronx,80,1,14,2.25,1,1
1,Bronx,70,1,16,3.66,1,362
1,Bronx,119,3,23,0.84,1,127
1,Bronx,0,1,0,,4,142
1,Bronx,77,2,9,0.91,2,0
1,Bronx,59,2,7,0.56,2,0
1,Bronx,850,2,0,,1,365
1,Bronx,70,1,1,0.07,1,0
1,Bronx,75,4,22,0.72,1,347
1,Bronx,150,6,2,0.63,1,287
1,Bronx,75,2,37,3.6,1,140
1,Bronx,75,1,4,0.63,1,0
1,Bronx,70,1,7,0.45,2,335
1,Bronx,85,2,16,1.27,1,0
1,Bronx,60,1,11,0.2,2,337
1,Bronx,48,3,48,2.8,6,335
1,Bronx,115,2,11,0.2,9,348
1,Bronx,129,2,6,0.36,9,336
1,Bronx,250,7,0,,9,353
1,Bronx,30,1,0,,9,282
1,Bronx,67,1,18,0.61,9,359
1,Bronx,52,2,17,3.13,6,358
1,Bronx,75,1,5,0.36,1,290
1,Bronx,150,3,0,,1,89
1,Bronx,62,2,46,3.84,6,361
1,Bronx,48,3,5,0.23,9,337
1,Bronx,54,2,22,0.65,9,359
1,Bronx,110,3,1,0.55,6,354
1,Bronx,54,2,50,2.95,6,354
1,Bronx,69,2,14,3.36,6,356
1,Bronx,69,2,4,0.36,9,346
1,Bronx,75,1,7,1.19,1,360
1,Bronx,70,3,0,,1,365
1,Bronx,65,3,2,2,1,361
1,Bronx,32,4,3,2.73,1,190
1,Bronx,50,1,26,4.88,1,154
1,Bronx,40,1,2,2,1,32
1,Bronx,50,1,57,0.77,3,358
1,Bronx,60,7,4,1.04,1,137
1,Bronx,42,2,4,4,5,339
1,Bronx,42,2,7,7,5,330
1,Bronx,49,2,8,3.33,1,77
1,Bronx,60,2,8,0.79,3,125
1,Bronx,90,2,67,5.3,3,61
1,Bronx,37,2,0,,2,212
1,Bronx,75,1,31,4.39,1,165
1,Bronx,60,3,2,2,1,335
1,Bronx,75,7,0,,1,89
1,Bronx,55,2,31,3.09,3,143
1,Bronx,65,1,20,0.67,3,363
1,Bronx,76,5,23,1.72,1,58
1,Bronx,80,2,18,4,5,312
1,Bronx,39,1,66,2.6,1,72
1,Bronx,46,1,109,1.27,3,362
1,Bronx,49,3,12,0.83,2,23
1,Bronx,75,2,6,0.65,1,80
1,Bronx,53,1,30,2.32,1,333
1,Bronx,42,2,3,3,5,318
1,Bronx,100,2,26,5.74,5,298
1,Bronx,49,1,17,3.98,1,77
1,Bronx,55,2,0,,1,316
1,Bronx,75,1,0,,1,363
1,Bronx,57,5,2,0.17,1,89
1,Bronx,60,3,19,1.26,2,0
1,Bronx,72,1,2,2,1,76
1,Bronx,45,7,2,0.4,2,314
1,Bronx,37,28,0,,5,281
1,Bronx,59,5,4,0.37,2,321
1,Bronx,37,28,13,0.5,5,216
1,Bronx,42,10,5,0.35,1,0
1,Bronx,40,28,12,0.47,5,306
1,Bronx,75,4,0,,2,365
1,Bronx,65,1,18,3.62,2,361
1,Bronx,45,28,10,0.41,5,282
1,Bronx,40,28,6,0.24,5,310
1,Bronx,65,3,1,0.7,1,0
1,Bronx,39,1,10,4.05,2,266
1,Bronx,35,3,3,1.23,1,0
1,Bronx,29,1,0,,2,302
1,Bronx,50,1,2,0.06,1,276
1,Bronx,60,3,0,,1,364
1,Bronx,80,3,34,4.81,1,347
1,Bronx,60,3,2,0.3,1,362
1,Bronx,99,2,26,5.03,1,43
1,Bronx,100,2,1,0.18,1,0
1,Bronx,150,4,8,0.69,1,334
1,Bronx,70,1,1,0.11,1,365
1,Bronx,30,1,6,0.36,1,89
1,Bronx,70,3,1,1,1,363
1,Bronx,36,2,21,0.63,2,332
1,Bronx,45,2,26,2.18,1,71
1,Bronx,60,1,42,2.62,2,299
1,Bronx,69,5,3,0.21,1,9
1,Bronx,70,2,8,0.59,2,85
1,Bronx,36,19,0,,2,90
1,Bronx,200,2,0,,1,89
1,Bronx,50,2,2,2,1,359
1,Bronx,79,3,0,,1,365
1,Bronx,50,2,4,1.03,1,0
1,Bronx,56,2,3,0.21,1,344
1,Bronx,90,1,0,,1,365
1,Bronx,99,3,13,1.21,1,279
1,Bronx,60,1,1,0.11,1,364
1,Bronx,169,2,6,0.52,1,177
1,Bronx,66,1,29,1.51,2,357
