,City_name,Name,Review,Service_name,Type
179,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
180,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
181,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
182,QUEENS,Mama Lee,4.5,restaurants, Cuban 
183,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
184,QUEENS,Momo Crave,4.0,restaurants, Korean 
185,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
186,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
187,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
188,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
189,QUEENS,The Alcove,4.5,restaurants, Thai 
190,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
191,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
192,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
193,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
194,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
195,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
196,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
197,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
198,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
199,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
200,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
201,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
202,QUEENS,Queens Comfort,4.5,restaurants, Thai 
203,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
204,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
205,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
206,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
207,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
208,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
209,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
210,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
211,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
212,QUEENS,Mama Lee,4.5,restaurants, Cuban 
213,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
214,QUEENS,Momo Crave,4.0,restaurants, Korean 
215,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
216,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
217,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
218,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
219,QUEENS,The Alcove,4.5,restaurants, Thai 
220,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
221,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
222,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
223,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
224,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
225,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
226,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
227,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
228,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
229,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
230,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
231,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
232,QUEENS,Queens Comfort,4.5,restaurants, Thai 
233,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
234,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
235,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
236,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
237,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
238,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
239,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
240,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
241,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
242,QUEENS,Mama Lee,4.5,restaurants, Cuban 
243,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
244,QUEENS,Momo Crave,4.0,restaurants, Korean 
245,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
246,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
247,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
